"Comment";"Designator";"Footprint";"LCSC Part #"
"100nF";"C1, C2";"CAP_0402";"C1525"
"C124408";"CN1";"2.54_15_goldPin";"C124408"
"A254HWV-8P";"CN2";"2.54_8_goldPin";"C225505"
"PZU5.1B3,115";"D1, D2, D3, D4, D6, D7, D8, D10, D11";"SOD-323F";"C455037"
"MHT151WDT";"D5, D9, D12, D13";"DIO_1206";"C401114"
"";"JK1, JK2, JK3, JK4, JK5, JK7, JK8,
JK10, JK11, JK12, JK13, JK14, JK15";"301BM";""
"";"JK6, JK9";"WQP-PJ366ST_JACK";""
"SDFL1005Q3R3KTF";"L1, L2";"RES_0402";"C84474"
"MMBT3904";"Q1, Q2";"SOT23";"C382281"
"220R";"R1, R2, R3, R4, R8, R9";"RES_0402";"C409726"
"1K";"R5, R7, R10, R11";"RES_0402";"C208774"
"0R";"R6";"RES_0402";"C60485"
"10KB";"RP1, RP2, RP3, RP4, RP5";"9MM_SNAP-IN_POT";""
"100KB";"RP6";"9MM_SNAP-IN_POT";""
"SW2";"SW1";"D6_PUSH_SWITCH";""
"SW3";"SW2";"D6_PUSH_SWITCH";""
"SW4";"SW3";"D6_PUSH_SWITCH";""
"";"SW4";"M9040P2";""
"SW1";"SW5";"D6_PUSH_SWITCH";""
