"Designator","Mid X (mm)","Mid Y (mm)","Layer","Rotation"
"C1","114.228","40.957","Bottom","0"
"C2","119.698","48.534","Bottom","270"
"C3","124.619","44.247","Bottom","270"
"C4","116.681","48.692","Bottom","270"
"C5","127.115","83.026","Bottom","180"
"C6","123.349","83.141","Bottom","270"
"C7","122.757","93.98","Bottom","0"
"C8","122.917","91.599","Bottom","0"
"C9","6.772","39.846","Bottom","0"
"C10","100.231","8.775","Bottom","90"
"C11","62.591","97.314","Bottom","0"
"C12","127.432","85.884","Bottom","180"
"C13","110.753","86.995","Bottom","0"
"C14","68.481","21.793","Bottom","90"
"C15","43.081","21.634","Bottom","90"
"C16","98.211","23.495","Bottom","0"
"C17","102.339","18.097","Bottom","0"
"C18","120.491","88.697","Bottom","270"
"C19","110.693","81.915","Bottom","0"
"C20","101.775","26.035","Bottom","180"
"C21","98.211","20.955","Bottom","0"
"C22","68.799","30.118","Bottom","270"
"C23","99.163","5.239","Bottom","0"
"C24","99.076","2.381","Bottom","180"
"C25","18.371","55.88","Bottom","180"
"C26","102.974","85.884","Bottom","0"
"C27","115.515","56.356","Bottom","0"
"C28","63.763","56.197","Bottom","0"
"C29","89.798","56.356","Bottom","0"
"C30","37.887","56.515","Bottom","0"
"C31","28.46","79.534","Bottom","0"
"C32","111.777","2.064","Bottom","180"
"C33","103.609","6.509","Bottom","0"
"C34","112.871","90.92","Bottom","270"
"C35","23.769","79.534","Bottom","180"
"C36","9.153","48.101","Bottom","0"
"C37","1.489","43.541","Bottom","90"
"C38","14.462","37.465","Bottom","180"
"C39","7.248","42.069","Bottom","0"
"C40","116.106","5.441","Bottom","90"
"C41","3.235","49.327","Bottom","270"
"C42","107.375","10.116","Bottom","270"
"C43","13.51","48.101","Bottom","180"
"C44","102.136","60.845","Bottom","90"
"CN1","124.426","35.73","Bottom","270"
"D1","44.986","90.17","Top","0"
"D2","85.15","90.011","Top","0"
"DS1","64.929","87.788","Top","0"
"FX_LEV","65.107","59.409","Top","0"
"FX_SET","39.231","59.409","Top","0"
"IC1","124.806","49.285","Bottom","270"
"IC2","111.125","71.596","Bottom","270"
"IC3","127.574","89.285","Bottom","180"
"IC4","103.724","12.381","Bottom","90"
"IC5","115.743","86.207","Bottom","180"
"IC6","89.119","72.867","Bottom","270"
"IC7","11.649","42.861","Bottom","90"
"INPUT","13.636","12.7","Top","0"
"L1","126.095","57.15","Bottom","180"
"L2","123.825","88.312","Bottom","270"
"L3","110.598","84.614","Bottom","180"
"L4","114.729","81.439","Bottom","0"
"L5","10.426","37.465","Bottom","180"
"L6","108.439","6.35","Bottom","0"
"L_CH","90.389","12.366","Top","90"
"LP_VOL","91.142","59.409","Top","0"
"Q1","45.955","19.309","Bottom","180"
"Q2","71.355","19.468","Bottom","180"
"R1","68.58","96.359","Bottom","270"
"R2","66.04","96.359","Bottom","270"
"R3","40.221","90.329","Bottom","180"
"R4","120.65","83.029","Bottom","90"
"R5","80.544","90.011","Bottom","180"
"R6","102.139","20.955","Bottom","0"
"R7","101.98","23.495","Bottom","0"
"R8","91.024","66.36","Bottom","90"
"R9","105.311","24.445","Bottom","270"
"R10","43.877","16.669","Bottom","0"
"R12","69.277","16.827","Bottom","0"
"R13","13.454","59.251","Top","0"
"R14","103.409","2.381","Bottom","0"
"R15","14.444","55.88","Bottom","180"
"R16","5.616","47.151","Bottom","90"
"R17","107.373","3.81","Bottom","180"
"R18","111.979","5.4","Bottom","90"
"R19","4.503","44.291","Bottom","180"
"R20","103.409","4.445","Bottom","0"
"R21","8.156","51.437","Bottom","90"
"R22","7.997","44.924","Bottom","270"
"R23","114.201","5.395","Bottom","270"
"R24","11.81","50.482","Bottom","0"
"R25","3.553","40.796","Bottom","270"
"R26","5.616","51.433","Bottom","270"
"R_CH","117.141","12.7","Top","0"
"REC","39.572","12.7","Top","0"
"STOP","65.131","12.859","Top","0"
"SW1","26.63","31.472","Top","0"
"SW2","104.1","31.472","Top","0"
"SW3","65.365","31.79","Top","0"
"U1","26.194","89.63","Top","270"
"VOL","116.86","59.568","Top","0"
"W/D","103.684","88.937","Top","0"
